label,ax_mean,ax_std,ax_rms,ax_p2p,ay_mean,ay_std,ay_rms,ay_p2p,az_mean,az_std,az_rms,az_p2p,amag_rms
3,-8.580646,5.207428,10.037170,17.046715,-2.405614,5.377252,5.890825,21.744141,-3.425065,2.968113,4.532192,13.627796,12.489492
3,-8.578237,4.982912,9.920462,18.547880,-2.639911,4.967028,5.624989,19.393034,-3.217871,2.819890,4.278606,10.934319,12.180422
3,-8.195032,4.980265,9.589661,16.445770,-1.583605,5.168563,5.405724,20.582951,-4.613690,3.609145,5.857650,13.666103,12.469780
3,-8.481540,5.331901,10.018268,19.357121,-1.459760,5.329114,5.525429,20.061016,-3.867441,3.121830,4.970203,11.978191,12.473932
3,-8.452965,5.359084,10.008616,16.733074,-1.486217,5.281363,5.486495,22.776039,-4.668925,4.180425,6.266962,15.172056,13.021092
4,-8.784316,0.057066,8.784501,0.351948,2.383077,0.091087,2.384817,0.481235,1.733522,0.089723,1.735842,0.577003,9.266499
4,-9.110476,0.220898,9.113153,1.290475,1.677330,0.218436,1.691493,1.163582,0.547777,0.204819,0.584817,1.017536,9.287234
4,-9.081069,0.093661,9.081552,0.593762,-0.362546,0.444732,0.573782,2.746149,1.785292,0.193436,1.795740,1.359907,9.275156
4,-9.339641,0.061226,9.339841,0.354342,0.500237,0.206492,0.541180,1.134852,0.314199,0.180286,0.362249,0.909797,9.362514
4,-9.398401,0.075810,9.398707,0.478840,0.164562,0.134093,0.212277,0.931345,-0.553124,0.243967,0.604538,1.252167,9.420518
4,-9.228385,0.249275,9.231751,3.924097,-1.705278,0.352911,1.741413,1.900996,0.189980,0.330114,0.380877,2.387019,9.402278
4,-8.964657,0.163417,8.966146,0.768538,-0.399983,0.177986,0.437796,0.986411,2.219457,0.475089,2.269736,2.171541,9.259325
4,-8.814976,0.075183,8.815296,0.399832,-3.184608,0.243404,3.193896,1.376666,0.749633,0.165172,0.767614,0.928950,9.407425
4,-9.131040,0.094684,9.131531,0.787692,1.578705,0.124605,1.583614,0.802058,0.828481,0.135649,0.839513,0.849942,9.305776
4,-9.116128,0.101493,9.116693,0.706289,1.071716,0.155246,1.082902,0.787692,1.386857,0.149420,1.394883,0.770933,9.286144
4,-9.088996,0.082685,9.089372,0.703896,-2.543169,0.153599,2.547803,0.809240,-1.092794,0.185117,1.108362,1.065420,9.504547
